z_idx,z_lo,z_hi,mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,valid,d_mass,d_bulge,d_z,q_unbarred,med_mass_u,med_bulge_u,med_z_u,delta_q,barmode
1,0.06,0.1,4,1,10.67510191599528,10.885112444559732,1.2595906494532976,1.4013679046574006,110,639,True,0.017651081085205078,0.017419579115198314,-0.002316996455192566,0.054773082942097026,10.760799407958984,1.3347274536446356,0.08023388683795929,0.04522691705790298,strong_only
1,0.06,0.1,4,2,10.67510191599528,10.885112444559732,1.4013679046574006,1.5513543675332466,196,568,True,0.007631778717041016,0.01407302688555756,-0.005979523062705994,0.06338028169014084,10.769722938537598,1.4710464929295797,0.08167685195803642,0.09478298361598161,strong_only
1,0.06,0.1,4,3,10.67510191599528,10.885112444559732,1.5513543675332466,1.7524639118556564,429,592,True,0.0049686431884765625,0.008999021777538863,-0.0020908191800117493,0.21452702702702703,10.776787757873535,1.6445520576428687,0.08092810958623886,0.027897215397215402,strong_only
1,0.06,0.1,4,4,10.67510191599528,10.885112444559732,1.7524639118556564,3.031238183903549,525,956,True,0.009103775024414062,-0.0796322213616425,-0.0005415193736553192,0.4110878661087866,10.777642250061035,1.9683572135224912,0.08013452216982841,0.01367403865311817,strong_only
1,0.06,0.1,5,0,10.885112444559732,12.37898349761963,0.3829151653165051,1.2595906494532976,24,169,False,,,,,,,,,strong_only
1,0.06,0.1,5,1,10.885112444559732,12.37898349761963,1.2595906494532976,1.4013679046574006,120,378,True,0.015483856201171875,0.005931126262139319,-0.005857326090335846,0.2619047619047619,11.040189266204834,1.3430649160210775,0.08032512664794922,0.0714285714285714,strong_only
1,0.06,0.1,5,2,10.885112444559732,12.37898349761963,1.4013679046574006,1.5513543675332466,332,667,True,-0.011202335357666016,0.0038548876104620433,-0.0025847256183624268,0.34782608695652173,11.053157806396484,1.477537047018763,0.08111827075481415,0.06783656364588792,strong_only
1,0.06,0.1,5,3,10.885112444559732,12.37898349761963,1.5513543675332466,1.7524639118556564,508,827,True,-0.02566385269165039,-0.00029063832908726717,-0.001145772635936737,0.4969770253929867,11.06468677520752,1.6480752312346454,0.08153379708528519,0.11719620295347,strong_only
1,0.06,0.1,5,4,10.885112444559732,12.37898349761963,1.7524639118556564,3.031238183903549,488,1034,True,-0.012967109680175781,-0.06178783640056151,0.0011505186557769775,0.5425531914893617,11.009908676147461,1.93405757169331,0.08116260915994644,0.13162713637949086,strong_only
2,0.1,0.15,0,0,9.530496597290039,10.428152084350586,0.4821862755675124,1.34510844190082,22,1441,False,,,,,,,,,strong_only
2,0.1,0.15,0,1,9.530496597290039,10.428152084350586,1.34510844190082,1.4962348618435812,29,964,False,,,,,,,,,strong_only
2,0.1,0.15,0,2,9.530496597290039,10.428152084350586,1.4962348618435812,1.6451332806655006,24,626,False,,,,,,,,,strong_only
2,0.1,0.15,0,3,9.530496597290039,10.428152084350586,1.6451332806655006,1.8280321411876859,26,373,False,,,,,,,,,strong_only
2,0.1,0.15,0,4,9.530496597290039,10.428152084350586,1.8280321411876859,2.7954545520584695,19,267,False,,,,,,,,,strong_only
2,0.1,0.15,1,0,10.428152084350586,10.611761093139648,0.4821862755675124,1.34510844190082,33,1143,True,0.022452354431152344,0.018608300211720774,-0.003934122622013092,0.009623797025371828,10.520915985107422,1.2426355612420912,0.12029525637626648,0.08128529388371908,strong_only
2,0.1,0.15,1,1,10.428152084350586,10.611761093139648,1.34510844190082,1.4962348618435812,51,834,True,0.01201629638671875,0.015916065257471024,-0.008818142116069794,0.007194244604316547,10.529010772705078,1.4183274829510537,0.12219821661710739,0.05162928480744816,strong_only
