mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,z_lo,z_hi,sample,scheme,barmode
5,3,10.715106010437012,12.047352790832521,1.4591103326268486,1.7085361622827162,401,480,246,270,True,0.6134663341645885,0.5649429245890385,0.6598364254930493,0.5625,0.5177984950111614,0.6062090676029288,0.05096633416458851,-0.014340662915004576,0.11537448518662113,0.02,0.06,all,comparison,strong_only
5,4,10.715106010437012,12.047352790832521,1.7085361622827162,3.245336315750976,397,846,270,550,True,0.6801007556675063,0.632680144988764,0.7240693799249431,0.6501182033096927,0.617367109955908,0.6815121661298577,0.029982552357813552,-0.0268883120518184,0.08480840424321506,0.02,0.06,all,comparison,strong_only
0,0,9.500271797180176,10.017061392466227,0.3829151653165051,1.2595906494532976,109,1298,0,9,True,0.0,0.0,0.03404297375132513,0.006933744221879815,0.0036521204373191497,0.013125236492517579,-0.006933744221879815,-0.013125236492517579,0.027267032326274847,0.06,0.1,all,comparison,strong_only
0,1,9.500271797180176,10.017061392466227,1.2595906494532976,1.4013679046574006,50,1023,0,11,True,0.0,0.0,0.07134759913335872,0.010752688172043012,0.006014595974032072,0.01915137156527288,-0.010752688172043012,-0.01915137156527288,0.06075206285732078,0.06,0.1,all,comparison,strong_only
0,2,9.500271797180176,10.017061392466227,1.4013679046574006,1.5513543675332466,61,810,2,3,True,0.03278688524590164,0.009037890398362391,0.11189490419495614,0.003703703703703704,0.0012603758144613814,0.010832223688831312,0.02908318154219794,0.004287404614527181,0.10822892377270783,0.06,0.1,all,comparison,strong_only
0,3,9.500271797180176,10.017061392466227,1.5513543675332466,1.7524639118556564,33,482,0,3,True,0.0,0.0,0.10426999754245206,0.006224066390041493,0.002118955579692385,0.01813756769969748,-0.006224066390041493,-0.01813756769969748,0.09812670898929242,0.06,0.1,all,comparison,strong_only
0,4,9.500271797180176,10.017061392466227,1.7524639118556564,3.031238183903549,11,285,0,4,False,,,,,,,,,,0.06,0.1,all,comparison,strong_only
1,0,10.017061392466227,10.28447437286377,0.3829151653165051,1.2595906494532976,32,1584,4,24,True,0.125,0.04970134387480074,0.2806830548165022,0.015151515151515152,0.010202700359298298,0.022446314145712364,0.10984848484848485,0.03419730041210772,0.2656101756612315,0.06,0.1,all,comparison,strong_only
1,1,10.017061392466227,10.28447437286377,1.2595906494532976,1.4013679046574006,49,1156,1,11,True,0.02040816326530612,0.0036116725898252405,0.10693521523391616,0.009515570934256055,0.005321556881866927,0.016958607897696355,0.010892592331050065,-0.007479149509359483,0.09752122775981681,0.06,0.1,all,comparison,strong_only
1,2,10.017061392466227,10.28447437286377,1.4013679046574006,1.5513543675332466,87,800,3,9,True,0.034482758620689655,0.011795820527505975,0.09654082386874399,0.01125,0.0059297687461997645,0.021241582744848563,0.023232758620689655,-0.0015569345155939072,0.08551845780537957,0.06,0.1,all,comparison,strong_only
1,3,10.017061392466227,10.28447437286377,1.5513543675332466,1.7524639118556564,67,550,1,6,True,0.014925373134328358,0.0026395717340788813,0.07981862319778105,0.01090909090909091,0.005009058805222746,0.023593817646868197,0.004016282225237448,-0.013642800663136287,0.06917719292041172,0.06,0.1,all,comparison,strong_only
1,4,10.017061392466227,10.28447437286377,1.7524639118556564,3.031238183903549,55,336,4,15,True,0.07272727272727272,0.02864406023304053,0.17259940072156052,0.044642857142857144,0.02723803377252035,0.07234210261851788,0.02808441558441558,-0.02397879430253378,0.1294617790669013,0.06,0.1,all,comparison,strong_only
2,0,10.28447437286377,10.487129211425781,0.3829151653165051,1.2595906494532976,31,1151,2,29,True,0.06451612903225806,0.017874783521914572,0.20718636736298127,0.02519548218940052,0.017599197739967085,0.03595054135915189,0.03932064684285754,-0.008544647565096243,0.18219296901472562,0.06,0.1,all,comparison,strong_only
2,1,10.28447437286377,10.487129211425781,1.2595906494532976,1.4013679046574006,71,1063,4,13,True,0.056338028169014086,0.022124519301696642,0.13609605799976943,0.012229539040451553,0.007160784831861612,0.020810999142189625,0.044108489128562536,0.008835189786259273,0.1240274205009899,0.06,0.1,all,comparison,strong_only
2,2,10.28447437286377,10.487129211425781,1.4013679046574006,1.5513543675332466,114,785,5,12,True,0.043859649122807015,0.018877509553328058,0.09858080231087835,0.015286624203821656,0.008765858272203369,0.026528253756741813,0.02857302491898536,0.0011781069144719304,0.0836813273294872,0.06,0.1,all,comparison,strong_only
2,3,10.28447437286377,10.487129211425781,1.5513543675332466,1.7524639118556564,176,580,15,21,True,0.08522727272727272,0.0523279093406539,0.13584593579276888,0.03620689655172414,0.023801621282063562,0.054715342746646634,0.04902037617554858,0.01127212201995701,0.10113697530724824,0.06,0.1,all,comparison,strong_only
2,4,10.28447437286377,10.487129211425781,1.7524639118556564,3.031238183903549,162,475,26,59,True,0.16049382716049382,0.11194179307511957,0.22477412354660564,0.12421052631578948,0.09753041652260391,0.15692010478515656,0.03628330084470434,-0.022259132803641925,0.1058806051176632,0.06,0.1,all,comparison,strong_only
3,0,10.487129211425781,10.67510191599528,0.3829151653165051,1.2595906494532976,27,745,4,20,False,,,,,,,,,,0.06,0.1,all,comparison,strong_only
3,1,10.487129211425781,10.67510191599528,1.2595906494532976,1.4013679046574006,97,826,7,25,True,0.07216494845360824,0.03539415830866491,0.1415316718939501,0.03026634382566586,0.0205835279059829,0.044298092852287474,0.041898604627942385,0.0025415088429437335,0.11193787393440602,0.06,0.1,all,comparison,strong_only
3,2,10.487129211425781,10.67510191599528,1.4013679046574006,1.5513543675332466,166,719,11,26,True,0.06626506024096386,0.03740095467368268,0.11474952142400321,0.03616133518776078,0.024795145413908214,0.052457560749070736,0.03010372505320308,-0.0030429724858315535,0.07990265321621559,0.06,0.1,all,comparison,strong_only
3,3,10.487129211425781,10.67510191599528,1.5513543675332466,1.7524639118556564,247,584,32,38,True,0.12955465587044535,0.09328517866406769,0.17717034786509508,0.06506849315068493,0.04777061364734321,0.08805080150236248,0.06448616271976042,0.021548283475490135,0.11514650973240415,0.06,0.1,all,comparison,strong_only
3,4,10.487129211425781,10.67510191599528,1.7524639118556564,3.031238183903549,365,718,102,165,True,0.27945205479452057,0.23589697589808903,0.3276011175245721,0.2298050139275766,0.2005185241314468,0.2619673233372015,0.049647040866943964,-0.004495909221085254,0.10600332469014556,0.06,0.1,all,comparison,strong_only
4,0,10.67510191599528,10.885112444559732,0.3829151653165051,1.2595906494532976,33,382,3,18,True,0.09090909090909091,0.03140394152458165,0.2357260564646973,0.04712041884816754,0.030010852156050646,0.0732477736600232,0.04378867206092337,-0.021199799783992022,0.18961284970347236,0.06,0.1,all,comparison,strong_only
4,1,10.67510191599528,10.885112444559732,1.2595906494532976,1.4013679046574006,110,639,11,35,True,0.1,0.05676012014096447,0.17023502809756685,0.054773082942097026,0.039644296874318946,0.07522299708671121,0.04522691705790298,-0.0026049363323422878,0.1170728587647983,0.06,0.1,all,comparison,strong_only
4,2,10.67510191599528,10.885112444559732,1.4013679046574006,1.5513543675332466,196,568,31,36,True,0.15816326530612246,0.11371842642515592,0.2157500392737948,0.06338028169014084,0.04612952608330787,0.08649719702470463,0.09478298361598161,0.044685723434006945,0.15489808242660041,0.06,0.1,all,comparison,strong_only
